url,standard_code,standard_desc,title,description,length
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,5.G.1-2, Graph points on the coordinate plane to solve real-world and mathematical problems,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,5.OA.1-2, Write and interpret numerical expressions,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,6.NS.5-8," The student performs operations with negative numbers, works with the number line and coordinate plane, order and absolute value of numbers, and solves real-world problems with rational numbers.",Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,N-Q, The student reasons quantitatively in using units to solve problems,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,BS-CE," The student translates between structured expressions as arithmetic, code, and Circles of Evaluation",Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,BS-IDE," The student is familiar with using a REPL, entering expressions properly, and interpreting error messages",Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,BS-M, The student models a problem in context and determines the data needed to describe the problem,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit1/index.html,BS-PL.1, The student is familiar with declaring values and applying built-in functions using the programming language,Unit 1Videogames and Coordinate Planes,"Students discuss the components of their favorite videogames, and discover that they can be reduced to a series of coordinates. They then explore coordinates in Cartesian space, and identify the coordinates for the characters in a game at various points in time. Once they are comfortable with coordinates, they brainstorm their own games and create sample coordinate lists for different points in time in their own game.", 85 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,A-SSE.1-2, The student interprets the structure of expressions to solve problems in context,"Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
http://www.bootstrapworld.org/materials/spring2016/courses/bs1/units/unit2/index.html,F-IF.1-3," The student uses function notation to describe, evaluate, and interpret functions in terms of domain and range","Unit 2Contracts, Strings and Images","Students are introduced to a set-mapping representation for functions, in which the function object exists as a means of translating points
from a Domain into a Range. Coupled with their understanding of Circles of Evaluation, students generalize their understanding of functions to
include other datatypes, including Strings and Images.", 90 minutes
