url,standard_code,standard_desc,title,description,length
https://code.org/curriculum/course3/1/Teacher,ISTE-1.a,"Apply existing knowledge to generate new ideas, products, or processes.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,ISTE-1.c,Use models and simulation to explore complex systems and issues.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,ISTE-2.d,Contribute to project teams to solve problems.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,ISTE-4.b,Plan and manage activities to develop a solution or complete a project.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,ISTE-4.d,Use multiple processes and diverse perspectives to explore alternative solutions.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CSTA-CPP.L1:6-05.,Construct a program as a set of step-by-step instructions to be acted out.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CSTA-CT.L1:6-02.,Develop a simple understanding of an algorithm using computer-free exercises.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CSTA-CT.L2-01.,Use the basic steps in algorithmic problem solving to design solutions.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CSTA-CT.L2-06.,Describe and analyze a sequence of instructions being followed.,Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
https://code.org/curriculum/course3/1/Teacher,CSTA-CT.L2-08.,"Use visual representations of problem states, structures, and data.",Computational Thinking,"For this activity, no instructions are provided. Instead, students will use examples of what imaginary players have done to figure out how to play the game. This lesson gives students the opportunity to practice the four arts of computational thinking (decomposition, pattern matching, abstraction, and algorithms) in one cohesive activity.This lesson has four new and important words:This lesson is all about a ""Game with No Instructions."" Students will be charged with figuring out how to play the game as a small group.  The small details of their final algorithm are unimportant.  What is important is that they were able to take a huge task like ""figuring out how to play a game on their own"" and take small steps toward achieving the goal.",25 Minutes
