           ,Subject,Grade,             ,Strand,              ,    ,               ,     ,                ,Common Core Standard,       ,        
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Key Ideas and Details,Anchor Standard 1:,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,K.RL.1,"With prompting and support, ask and answer questions about key details in a text.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Key Ideas and Details,Anchor Standard 2:,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,K.RL.2,"With prompting and support, retell familiar stories, including key details.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Key Ideas and Details,Anchor Standard 3:,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",K.RL.3,"With prompting and support, identify characters, settings, and major events in a story.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 4:,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",K.RL.4,Ask and answer questions about unknown words in a text.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 5:,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",K.RL.5,"Recognize common types of texts (e.g., storybooks, poems).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 6:,Assess how point of view or purpose shapes the content and style of a text.,K.RL.6,"With prompting and support, name the author and illustrator of a story and define the role of each in telling the story.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 7:,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",K.RL.7,"With prompting and support, describe the relationship between illustrations and the story in which they appear (e.g., what moment in a story an illustration depicts).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 8:,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",K.RL.8,(Not applicable to literature),,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 9:,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,K.RL.9,"With prompting and support, compare and contrast the adventures and experiences of characters in familiar stories.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Literature - The following standards offer a focus for instruction in literary text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Range of Reading and Level of Text Complexity,Anchor Standard 10:,Read and comprehend complex literary and informational texts independently and proficiently.,K.RL.10,Actively engage in group reading activities with purpose and understanding.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Key Ideas and Details,Anchor Standard 1:,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,K.RI.1,"With prompting and support, ask and answer questions about key details in a text.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Key Ideas and Details,Anchor Standard 2:,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,K.RI.1,"With prompting and support, identify the main topic and retell key details of a text.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Key Ideas and Details,Anchor Standard 3:,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",K.RI.3,"With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 4:,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",K.RI.4,"With prompting and support, ask and answer questions about unknown words in a text.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 5:,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",K.RI.5,"Identify the front cover, back cover, and title page of a book.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Craft and Structure,Anchor Standard 6:,Assess how point of view or purpose shapes the content and style of a text.,K.RI.6,Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 7:,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",K.RI.7,"With prompting and support, describe the relationship between illustrations and the text in which they appear (e.g., what person, place, thing, or idea in the text an illustration depicts).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 8:,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",K.RI.8,"With prompting and support, identify the reasons an author gives to support points in a text.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Integration of Knowledge and Ideas,Anchor Standard 9:,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,K.RI.9,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,Informational Text - The following standards offer a focus for instruction in informational text and help ensure that students gain adequate exposure to a range of texts and tasks. Rigor is also infused through the requirement that students read increasingly complex texts through the grades.,,Range of Reading and Level of Text Complexity,Anchor Standard 10:,Read and comprehend complex literary and informational texts independently and proficiently.,K.RI.10,Actively engage in group reading activities with purpose and understanding.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Print Concepts,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,K.RF.1,Demonstrate understanding of the organization and basic features of print.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Print Concepts,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,a.,"Follow words from left to right, top to bottom, and page by page.",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Print Concepts,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,b.,Recognize that spoken words are represented in written language by specific sequences of letters.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Print Concepts,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,c.,Understand that words are separated by spaces in print.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Print Concepts,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,d.,Recognize and name all upper- and lowercase letters of the alphabet.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonological Awareness,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonological Awareness,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,a.,Recognize and produce rhyming words.,,
CCSSE,English Language Arts & Literacy (CCSS),Kindergarten,,"Foundational Skills - These standards are directed toward fostering students’ understanding and working knowledge of concepts of print, the alphabetic principle, and other basic conventions of the English writing system. These foundational skills are not an end in and of themselves; rather, they are necessary and important components of an effective, comprehensive reading program designed to develop proficient readers with the capacity to comprehend texts across a range of types and disciplines.",,Phonological Awareness,Anchor Standard:,There are no anchor standards associated with Foundational Skills.,b.,"Count, pronounce, blend, and segment syllables in spoken words.",,
