           ,Subject,grade,             ,Strand,              ,Strand Descriptor,               ,Concept,                ,Accessing Information,       ,        
HE12,Health Education (2012),Third Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related OARs: 333-015-0040 “No Smoking” Signs (K-12); OAR 581-021-0110 Tobacco Free Schools (K-12); OAR 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); OAR 581-022-1210 District Curriculum]",HE.03.AT01.CC,Explain the benefits of a tobacco-free environment.  (REQ),HE.03.AT01.AI,Identify tobacco-free signage within the school environment.  (REQ),,
HE12,Health Education (2012),Third Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related OARs: 333-015-0040 “No Smoking” Signs (K-12); OAR 581-021-0110 Tobacco Free Schools (K-12); OAR 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); OAR 581-022-1210 District Curriculum]",HE.03.AT01.CC,Explain the benefits of a tobacco-free environment.  (REQ),HE.03.AT01.ADV,Advocate for a tobacco-free environment.  (REQ),,
HE12,Health Education (2012),Third Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related OARs: 333-015-0040 “No Smoking” Signs (K-12); OAR 581-021-0110 Tobacco Free Schools (K-12); OAR 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); OAR 581-022-1210 District Curriculum]",HE.03.AT02.CC,"State reasons why young people choose not to use alcohol, tobacco, and other drugs.   (REQ)",HE.03.AT02.INF,Recognize the influences that persuade young people to abstain from alcohol and tobacco use.  (REQ),,
HE12,Health Education (2012),Third Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related OARs: 333-015-0040 “No Smoking” Signs (K-12); OAR 581-021-0110 Tobacco Free Schools (K-12); OAR 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); OAR 581-022-1210 District Curriculum]",HE.03.AT03.CC,Identify that alcohol and tobacco are harmful to one’s health.  (REQ),HE.03.AT03.IC,"Demonstrate refusal skills around the use of alcohol, tobacco, and other drugs.  (REQ)",,
HE12,Health Education (2012),Third Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related OARs: 333-015-0040 “No Smoking” Signs (K-12); OAR 581-021-0110 Tobacco Free Schools (K-12); OAR 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); OAR 581-022-1210 District Curriculum]",HE.03.AT04.CC,Identify that secondhand smoke is harmful to personal health.  (REQ),HE.03.AT04.SM,Demonstrate ways to avoid secondhand smoke.  (REQ),,
HE12,Health Education (2012),Third Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related OARs: 333-015-0040 “No Smoking” Signs (K-12); OAR 581-021-0110 Tobacco Free Schools (K-12); OAR 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); OAR 581-022-1210 District Curriculum]",HE.03.AT05.CC,Describe appropriate use of &lsquo;over the counter&rsquo; and prescription drugs.,HE.03.AT05.AI,Identify appropriate person(s) to dispense medication to children.  (REQ),,
HE12,Health Education (2012),Third Grade,,"Alcohol, Tobacco and Other Drug Prevention",,"Acquire knowledge and skills to understand the physical, social emotional effects of alcohol, tobacco, and other drugs and their use. [Related OARs: 333-015-0040 “No Smoking” Signs (K-12); OAR 581-021-0110 Tobacco Free Schools (K-12); OAR 581-022-0413 Prevention Education Programs in Drugs and Alcohol (K-12); OAR 581-022-1210 District Curriculum]",HE.03.AT06.CC,"Describe school policies about alcohol, tobacco, ‘over the counter’ and prescription medication use.  (REQ)",HE.03.AT06.IC,Practice reporting use/misuse of ‘over the counter’ and prescription drugs to trusted adults.   (REQ),,
HE12,Health Education (2012),Third Grade,,Prevention and Control of Disease,,Acquire knowledge and skills to understand and practice health habits that can prevent and/or control disease.  [Related ORS:  336.455 Human Sexuality Education Courses (K-12); Related OARs:  581-022-0413 Prevention Education in Drugs and Alcohol (K-12); OAR 518-022-1210 District Curriculum; OAR 581-022-1440 Human Sexuality Education],HE.03.PC01.CC,Explain ways to prevent communicable and non-communicable disease and understand the difference.  (REQ),HE.03.PC01.SM,Demonstrate strategies for effective personal health care.   (REQ),,
HE12,Health Education (2012),Third Grade,,Prevention and Control of Disease,,Acquire knowledge and skills to understand and practice health habits that can prevent and/or control disease.  [Related ORS:  336.455 Human Sexuality Education Courses (K-12); Related OARs:  581-022-0413 Prevention Education in Drugs and Alcohol (K-12); OAR 518-022-1210 District Curriculum; OAR 581-022-1440 Human Sexuality Education],HE.03.PC01.CC,Explain ways to prevent communicable and non-communicable disease and understand the difference.  (REQ),HE.03.PC01.DM,Use the decision making model to make healthy decisions for preventing disease.  (REQ),,
HE12,Health Education (2012),Third Grade,,Prevention and Control of Disease,,Acquire knowledge and skills to understand and practice health habits that can prevent and/or control disease.  [Related ORS:  336.455 Human Sexuality Education Courses (K-12); Related OARs:  581-022-0413 Prevention Education in Drugs and Alcohol (K-12); OAR 518-022-1210 District Curriculum; OAR 581-022-1440 Human Sexuality Education],HE.03.PC02.CC,"Identify important personal health care practices that prevent the spread of communicable disease (including HIV/AIDS, and Hepatitis B and C).  (REQ)",HE.03.PC02.GS,Develop personal goals to prevent the spread of communicable diseases.  (REQ),,
HE12,Health Education (2012),Third Grade,,Prevention and Control of Disease,,Acquire knowledge and skills to understand and practice health habits that can prevent and/or control disease.  [Related ORS:  336.455 Human Sexuality Education Courses (K-12); Related OARs:  581-022-0413 Prevention Education in Drugs and Alcohol (K-12); OAR 518-022-1210 District Curriculum; OAR 581-022-1440 Human Sexuality Education],HE.03.PC02.CC,"Identify important personal health care practices that prevent the spread of communicable disease (including HIV/AIDS, and Hepatitis B and C).  (REQ)",HE.03.PC02.ADV,Share strategies for preventing the spread of communicable disease to others.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Environmental Health,,Acquire knowledge and skills to determine how protecting the environment impacts health for individuals and society. [Related OAR:  581-022-0110 Tobacco Free Schools (K-12)],HE.03.PE01.CC,Identify sources of air and water pollution.  (REC),HE.03.PE01.AI,Access information on how air and water pollution affects health.  (REC),,
HE12,Health Education (2012),Third Grade,,Promotion of Environmental Health,,Acquire knowledge and skills to determine how protecting the environment impacts health for individuals and society. [Related OAR:  581-022-0110 Tobacco Free Schools (K-12)],HE.03.PE01.CC,Identify sources of air and water pollution.  (REC),HE.03.PE01.ADV,Encourage family and community members to adopt healthy environmental practices.   (REC),,
HE12,Health Education (2012),Third Grade,,Promotion of Environmental Health,,Acquire knowledge and skills to determine how protecting the environment impacts health for individuals and society. [Related OAR:  581-022-0110 Tobacco Free Schools (K-12)],HE.03.PE02.CC,Identify ways to reduce exposure to the sun.   (REC),HE.03.PE02.SM,Demonstrate ways to protect oneself from ultraviolet radiation (sun) and other harmful substances.  (REC),,
HE12,Health Education (2012),Third Grade,,Promotion of Environmental Health,,Acquire knowledge and skills to determine how protecting the environment impacts health for individuals and society. [Related OAR:  581-022-0110 Tobacco Free Schools (K-12)],HE.03.PE03.CC,Identify ways to reduce exposure to potentially harmful toxic substances including second-hand smoke.  (REQ),HE.03.PE03.GS,Set a goal for creating a healthy environment and reduced exposure to a potentially harmful substance at home and school.  (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Healthy Eating,,"Acquire knowledge and skills to understand and practice healthful nutrition that contributes to growth and energy and helps prevent chronic diseases. [Related ORS:  336.423 Local Wellness Program; Related PL: Public Law 108–265, Section 204, USDA School Policy 42-2011 - Child Nutrition Reauthorization 2010]",HE.03.PH01.CC,Identify the food groups in the current USDA recommended guidelines.  (REC),HE.03.PH01.AI,Explore the food groups in the USDA guidelines and identify and list examples from each.  (REC),,
HE12,Health Education (2012),Third Grade,,Promotion of Healthy Eating,,"Acquire knowledge and skills to understand and practice healthful nutrition that contributes to growth and energy and helps prevent chronic diseases. [Related ORS:  336.423 Local Wellness Program; Related PL: Public Law 108–265, Section 204, USDA School Policy 42-2011 - Child Nutrition Reauthorization 2010]",HE.03.PH01.CC,Identify the food groups in the current USDA recommended guidelines.  (REC),HE.03.PH01.GS,Set a personal goal for healthy eating and track progress.  (REC),,
HE12,Health Education (2012),Third Grade,,Promotion of Healthy Eating,,"Acquire knowledge and skills to understand and practice healthful nutrition that contributes to growth and energy and helps prevent chronic diseases. [Related ORS:  336.423 Local Wellness Program; Related PL: Public Law 108–265, Section 204, USDA School Policy 42-2011 - Child Nutrition Reauthorization 2010]",HE.03.PH02.CC,Recognize the importance of variety and moderation in food selection and consumption.  (REQ),HE.03.PH02.SM,Choose a variety of foods from all food groups at home and school.   (REQ),,
HE12,Health Education (2012),Third Grade,,Promotion of Healthy Eating,,"Acquire knowledge and skills to understand and practice healthful nutrition that contributes to growth and energy and helps prevent chronic diseases. [Related ORS:  336.423 Local Wellness Program; Related PL: Public Law 108–265, Section 204, USDA School Policy 42-2011 - Child Nutrition Reauthorization 2010]",HE.03.PH02.CC,Recognize the importance of variety and moderation in food selection and consumption.  (REQ),HE.03.PH02.ADV,"Advocate for a variety of foods from all food groups (focus on food groups to encourage: dairy, fruit, vegetables and whole grain).   (REQ)",,
HE12,Health Education (2012),Third Grade,,Promotion of Healthy Eating,,"Acquire knowledge and skills to understand and practice healthful nutrition that contributes to growth and energy and helps prevent chronic diseases. [Related ORS:  336.423 Local Wellness Program; Related PL: Public Law 108–265, Section 204, USDA School Policy 42-2011 - Child Nutrition Reauthorization 2010]",HE.03.PH03.CC,Recognize how healthful eating habits can lead to wellness.  (REC),,No skill listed for this concept,,
