           ,Subject,Grade,             ,Strand,              ,    ,               ,     ,                ,Common Core Standard,       ,        
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 1:,Read closely to determine what the text says explicitly and to make logical inferences from it; cite specific textual evidence when writing or speaking to support conclusions drawn from the text.,6-8.RH.1,Cite specific textual evidence to support analysis of primary and secondary sources.,,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 2:,Determine central ideas or themes of a text and analyze their development; summarize the key supporting details and ideas.,6-8.RH.2,Determine the central ideas or information of a primary or secondary source; provide an accurate summary of the source distinct from prior knowledge or opinions.,,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Key Ideas and Details,Anchor Standard 3:,"Analyze how and why individuals, events, and ideas develop and interact over the course of a text.",6-8.RH.3,"Identify key steps in a text&rsquo;s description of a process related to history/social studies (e.g., how a bill becomes law, how interest rates are raised or lowered).",,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 4:,"Interpret words and phrases as they are used in a text, including determining technical, connotative, and figurative meanings, and analyze how specific word choices shape meaning or tone.",6-8.RH.4,"Determine the meaning of words and phrases as they are used in a text, including vocabulary specific to domains related to history/social studies.",,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 5:,"Analyze the structure of texts, including how specific sentences, paragraphs, and larger portions of the text (e.g., a section, chapter, scene, or stanza) relate to each other and the whole.",6-8.RH.5,"Describe how a text presents information (e.g., sequentially, comparatively, causally).",,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Craft and Structure,Anchor Standard 6:,Assess how point of view or purpose shapes the content and style of a text.,6-8.RH.6,"Identify aspects of a text that reveal an author&rsquo;s point of view or purpose (e.g., loaded language, inclusion or avoidance of particular facts).",,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 7:,"Integrate and evaluate content presented in diverse media and formats, including visually and quantitatively, as well as in words.",6-8.RH.7,"Integrate visual information (e.g., in charts, graphs, photographs, videos, or maps) with other information in print and digital texts.",,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 8:,"Delineate and evaluate the argument and specific claims in a text, including the validity of the reasoning as well as the relevance and sufficiency of the evidence.",6-8.RH.8,"Distinguish among fact, opinion, and reasoned judgment in a text.",,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Integration of Knowledge and Ideas,Anchor Standard 9:,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,6-8.RH.9,Analyze the relationship between a primary and secondary source on the same topic.,,
LSS,Literacy in History & Social Studies,Middle School (6-8),,"Reading for Literacy in History/Social Studies - Because students need grade-level literacy skills to access full content in school, the emphasis in the Common Core is to learn to read and write in ELA and to develop those skills, specific to the content, in all other classes. For grades K-5, the ELA and subject-area literacy standards are integrated; for grades 6-11/12, they are separate but parallel.",,Range of Reading and Level of Text Complexity,Anchor Standard 10:,Read and comprehend complex literary and informational texts independently and proficiently.,6-8.RH.10,"By the end of grade 8, read and comprehend history/social studies texts in the grades 6&ndash;8 text complexity band independently and proficiently.",,
