           ,Subject,Grade,             ,Domain,              ,Cluster Statement,               ,Common Core Standard,                ,      ,       ,        
CCSSM,Mathematics (CCSS),Kindergarten,,Mathematical Practices (K.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,K.MP.1,Make sense of problems and persevere in solving them.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Mathematical Practices (K.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,K.MP.2,Reason abstractly and quantitatively.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Mathematical Practices (K.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,K.MP.3,Construct viable arguments and critique the reasoning of others.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Mathematical Practices (K.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,K.MP.4,Model with mathematics.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Mathematical Practices (K.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,K.MP.5,Use appropriate tools strategically.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Mathematical Practices (K.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,K.MP.6,Attend to precision.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Mathematical Practices (K.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,K.MP.7,Look for and make use of structure.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Mathematical Practices (K.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,K.MP.8,Look for and express regularity in repeated reasoning.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.A,Know number names and the count sequence.,K.CC.1,Count to 100 by ones and by tens.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.A,Know number names and the count sequence.,K.CC.2,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.A,Know number names and the count sequence.,K.CC.3,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.B,Count to tell the number of objects.,K.CC.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,K.CC.4a,"When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object.",,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.B,Count to tell the number of objects.,K.CC.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,K.CC.4b,Understand that the last number name said tells the number of objects counted. The number of objects is the same regardless of their arrangement or the order in which they were counted.,,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.B,Count to tell the number of objects.,K.CC.4,Understand the relationship between numbers and quantities; connect counting to cardinality.,K.CC.4c,Understand that each successive number name refers to a quantity that is one larger.,,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.B,Count to tell the number of objects.,K.CC.5,"Count to answer “how many?” questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1–20, count out that many objects.",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.C,Compare numbers.,K.CC.6,"Identify whether the number of objects in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies. (Include groups with up to ten objects.)",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Counting and Cardinality (K.CC),K.CC.C,Compare numbers.,K.CC.7,Compare two numbers between 1 and 10 presented as written numerals.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Operations and Algebraic Thinking (K.OA),K.OA.D,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",K.OA.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, expressions, or equations. (Drawings need not show details, but should show the mathematics in the problem)",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Operations and Algebraic Thinking (K.OA),K.OA.D,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",K.OA.2,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Operations and Algebraic Thinking (K.OA),K.OA.D,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",K.OA.3,"Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition by a drawing or equation (e.g., 5 = 2 + 3 and 5 = 4 + 1).",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Operations and Algebraic Thinking (K.OA),K.OA.D,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",K.OA.4,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Operations and Algebraic Thinking (K.OA),K.OA.D,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",K.OA.5,Fluently add and subtract within 5.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Number and Operations in Base Ten (K.NBT),K.NBT.E,Work with numbers 11–19 to gain foundations for place value.,K.NBT.1,"Compose and decompose numbers from 11 to 19 into ten ones and some further ones, e.g., by using objects or drawings, and record each composition or decomposition by a drawing or equation (e.g., 18 = 10 + 8); understand that these numbers are composed of ten ones and one, two, three, four, five, six, seven, eight, or nine ones.",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Measurement and Data (K.MD),K.MD.F,Describe and compare measurable attributes.,K.MD.1,"Describe measurable attributes of objects, such as length or weight. Describe several measurable attributes of a single object.",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Measurement and Data (K.MD),K.MD.F,Describe and compare measurable attributes.,K.MD.2,"Directly compare two objects with a measurable attribute in common, to see which object has “more of”/“less of” the attribute, and describe the difference.",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Measurement and Data (K.MD),K.MD.G,Classify objects and count the number of objects in each category.,K.MD.3,Classify objects into given categories; count the numbers of objects in each category and sort the categories by count. (Limit category counts to be less than or equal to 10.),,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Geometry (K.G),K.G.H,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",K.G.1,"Describe objects in the environment using names of shapes, and describe the relative positions of these objects using terms such as above, below, beside, in front of, behind, and next to.",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Geometry (K.G),K.G.H,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",K.G.2,Correctly name shapes regardless of their orientations or overall size.,,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Geometry (K.G),K.G.H,"Identify and describe shapes (squares, circles, triangles, rectangles, hexagons, cubes, cones, cylinders, and spheres).",K.G.3,"Identify shapes as two-dimensional (lying in a plane, “flat”) or three-dimensional (“solid”).",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Geometry (K.G),K.G.I,"Analyze, compare, create, and compose shapes.",K.G.4,"Analyze and compare two- and three-dimensional shapes, in different sizes and orientations, using informal language to describe their similarities, differences, parts (e.g., number of sides and vertices/“corners”) and other attributes (e.g., having sides of equal length).",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Geometry (K.G),K.G.I,"Analyze, compare, create, and compose shapes.",K.G.5,"Model shapes in the world by building shapes from components (e.g., sticks and clay balls) and drawing shapes.",,,,
CCSSM,Mathematics (CCSS),Kindergarten,,Geometry (K.G),K.G.I,"Analyze, compare, create, and compose shapes.",K.G.6,Compose simple shapes to form larger shapes.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Mathematical Practices (1.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,1.MP.1,Make sense of problems and persevere in solving them.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Mathematical Practices (1.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,1.MP.2,Reason abstractly and quantitatively.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Mathematical Practices (1.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,1.MP.3,Construct viable arguments and critique the reasoning of others.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Mathematical Practices (1.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,1.MP.4,Model with mathematics.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Mathematical Practices (1.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,1.MP.5,Use appropriate tools strategically.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Mathematical Practices (1.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,1.MP.6,Attend to precision.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Mathematical Practices (1.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,1.MP.7,Look for and make use of structure.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Mathematical Practices (1.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,1.MP.8,Look for and express regularity in repeated reasoning.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Operations and Algebraic Thinking (1.OA),1.OA.A,Represent and solve problems involving addition and subtraction.,1.OA.1,"Use addition and subtraction within 20 to solve word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Operations and Algebraic Thinking (1.OA),1.OA.A,Represent and solve problems involving addition and subtraction.,1.OA.2,"Solve word problems that call for addition of three whole numbers whose sum is less than or equal to 20, e.g., by using objects, drawings, and equations with a symbol for the unknown number to represent the problem.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Operations and Algebraic Thinking (1.OA),1.OA.B,Understand and apply properties of operations and the relationship between addition and subtraction.,1.OA.3,Apply properties of operations as strategies to add and subtract. (Students need not use formal terms for these properties.),,,,
CCSSM,Mathematics (CCSS),First Grade,,Operations and Algebraic Thinking (1.OA),1.OA.B,Understand and apply properties of operations and the relationship between addition and subtraction.,1.OA.4,Understand subtraction as an unknown-addend problem.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Operations and Algebraic Thinking (1.OA),1.OA.C,Add and subtract within 20.,1.OA.5,"Relate counting to addition and subtraction (e.g., by counting on 2 to add 2).",,,,
CCSSM,Mathematics (CCSS),First Grade,,Operations and Algebraic Thinking (1.OA),1.OA.C,Add and subtract within 20.,1.OA.6,"Add and subtract within 20, demonstrating fluency for addition and subtraction within 10. Use strategies such as counting on; making ten (e.g., 8 + 6 = 8 + 2 + 4 = 10 + 4 = 14); decomposing a number leading to a ten (e.g., 13 – 4 = 13 – 3 – 1 = 10 – 1 = 9); using the relationship between addition and subtraction (e.g., knowing that 8 + 4 = 12, one knows 12 – 8 = 4); and creating equivalent but easier or known sums (e.g., adding 6 + 7 by creating the known equivalent 6 + 6 + 1 = 12 + 1 = 13).",,,,
CCSSM,Mathematics (CCSS),First Grade,,Operations and Algebraic Thinking (1.OA),1.OA.D,Work with addition and subtraction equations.,1.OA.7,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Operations and Algebraic Thinking (1.OA),1.OA.D,Work with addition and subtraction equations.,1.OA.8,Determine the unknown whole number in an addition or subtraction equation relating to three whole numbers.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Number and Operations in Base Ten (1.NBT),1.NBT.E,Extend the counting sequence.,1.NBT.1,"Count to 120, starting at any number less than 120. In this range, read and write numerals and represent a number of objects with a written numeral.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Number and Operations in Base Ten (1.NBT),1.NBT.F,Understand place value.,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,1.NBT.2a,10 can be thought of as a bundle of ten ones — called a “ten.”,,
CCSSM,Mathematics (CCSS),First Grade,,Number and Operations in Base Ten (1.NBT),1.NBT.F,Understand place value.,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,1.NBT.2b,"The numbers from 11 to 19 are composed of a ten and one, two, three, four, five, six, seven, eight, or nine ones.",,
CCSSM,Mathematics (CCSS),First Grade,,Number and Operations in Base Ten (1.NBT),1.NBT.F,Understand place value.,1.NBT.2,Understand that the two digits of a two-digit number represent amounts of tens and ones. Understand the following as special cases:,1.NBT.2c,"The numbers 10, 20, 30, 40, 50, 60, 70, 80, 90 refer to one, two, three, four, five, six, seven, eight, or nine tens (and 0 ones).",,
CCSSM,Mathematics (CCSS),First Grade,,Number and Operations in Base Ten (1.NBT),1.NBT.F,Understand place value.,1.NBT.3,"Compare two two-digit numbers based on meanings of the tens and ones digits, recording the results of comparisons with the symbols , =, and ",,,,
CCSSM,Mathematics (CCSS),First Grade,,Number and Operations in Base Ten (1.NBT),1.NBT.G,Use place value understanding and properties of operations to add and subtract.,1.NBT.4,"Add within 100, including adding a two-digit number and a one-digit number, and adding a two-digit number and a multiple of 10, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used. Understand that in adding two-digit numbers, one adds tens and tens, ones and ones; and sometimes it is necessary to compose a ten.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Number and Operations in Base Ten (1.NBT),1.NBT.G,Use place value understanding and properties of operations to add and subtract.,1.NBT.5,"Given a two-digit number, mentally find 10 more or 10 less than the number, without having to count; explain the reasoning used.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Number and Operations in Base Ten (1.NBT),1.NBT.G,Use place value understanding and properties of operations to add and subtract.,1.NBT.6,"Subtract multiples of 10 in the range 10-90 from multiples of 10 in the range 10-90 (positive or zero differences), using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method and explain the reasoning used.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Measurement and Data (1.MD),1.MD.H,Measure lengths indirectly and by iterating length units.,1.MD.1,Order three objects by length; compare the lengths of two objects indirectly by using a third object.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Measurement and Data (1.MD),1.MD.H,Measure lengths indirectly and by iterating length units.,1.MD.2,"Express the length of an object as a whole number of length units, by laying multiple copies of a shorter object (the length unit) end to end; understand that the length measurement of an object is the number of same-size length units that span it with no gaps or overlaps.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Measurement and Data (1.MD),1.MD.I,Tell and write time.,1.MD.3,Tell and write time in hours and half-hours using analog and digital clocks.,,,,
CCSSM,Mathematics (CCSS),First Grade,,Measurement and Data (1.MD),1.MD.J,Represent and interpret data.,1.MD.4,"Organize, represent, and interpret data with up to three categories; ask and answer questions about the total number of data points, how many in each category, and how many more or less are in one category than in another.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Geometry (1.G),1.MD.K,Reason with shapes and their attributes.,1.G.1,"Distinguish between defining attributes (e.g., triangles are closed and three-sided) versus non-defining attributes (e.g., color, orientation, overall size); build and draw shapes to possess defining attributes.",,,,
CCSSM,Mathematics (CCSS),First Grade,,Geometry (1.G),1.MD.K,Reason with shapes and their attributes.,1.G.2,"Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape. (Students do not need to learn formal names such as “right rectangular prism.”)",,,,
CCSSM,Mathematics (CCSS),First Grade,,Geometry (1.G),1.MD.K,Reason with shapes and their attributes.,1.G.3,"Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Mathematical Practices (2.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,2.MP.1,Make sense of problems and persevere in solving them.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Mathematical Practices (2.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,2.MP.2,Reason abstractly and quantitatively.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Mathematical Practices (2.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,2.MP.3,Construct viable arguments and critique the reasoning of others.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Mathematical Practices (2.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,2.MP.4,Model with mathematics.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Mathematical Practices (2.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,2.MP.5,Use appropriate tools strategically.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Mathematical Practices (2.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,2.MP.6,Attend to precision.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Mathematical Practices (2.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,2.MP.7,Look for and make use of structure.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Mathematical Practices (2.MP),,The Standards for Mathematical Practice describe varieties of expertise that mathematics educators at all levels should seek to develop in their students.,2.MP.8,Look for and express regularity in repeated reasoning.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Operations and Algebraic Thinking (2.OA),2.OA.A,Represent and solve problems involving addition and subtraction.,2.OA.1,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Operations and Algebraic Thinking (2.OA),2.OA.B,Add and subtract within 20.,2.OA.2,"Fluently add and subtract within 20 using mental strategies. (See standard 1.OA.6 for a list of mental strategies.) By end of Grade 2, know from memory all sums of two one-digit numbers.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Operations and Algebraic Thinking (2.OA),2.OA.C,Work with equal groups of objects to gain foundations for multiplication.,2.OA.3,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Operations and Algebraic Thinking (2.OA),2.OA.C,Work with equal groups of objects to gain foundations for multiplication.,2.OA.4,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.D,Understand place value.,2.NBT.1,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:",2.NBT.1a,100 can be thought of as a bundle of ten tens — called a “hundred.”,,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.D,Understand place value.,2.NBT.1,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:",2.NBT.1b,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.D,Understand place value.,2.NBT.2,"Count within 1000; skip-count by 5s, 10s, and 100s.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.D,Understand place value.,2.NBT.3,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.D,Understand place value.,2.NBT.4,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using , =, and ",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.E,Use place value understanding and properties of operations to add and subtract.,2.NBT.5,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.E,Use place value understanding and properties of operations to add and subtract.,2.NBT.6,Add up to four two-digit numbers using strategies based on place value and properties of operations.,,,,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.E,Use place value understanding and properties of operations to add and subtract.,2.NBT.7,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",,,,
CCSSM,Mathematics (CCSS),Second Grade,,Number and Operations in Base Ten (2.NBT),2.NBT.E,Use place value understanding and properties of operations to add and subtract.,2.NBT.8,"Mentally add 10 or 100 to a given number 100–900, and mentally subtract 10 or 100 from a given number 100–900.",,,,
