           ,Subject,Grade,Strand,              ,CCG,               ,Benchmark Standard,      ,       ,        
PE,Physical Education,Third Grade,Expressive and Efficient Moving,,Demonstrate knowledge of a variety of motor skills.,PE.03.EE.01,"Demonstrate mature form of basic locomotor patterns: run, gallop, slide, horizontal jump, hop, leap, and skip, starting and stopping on command and in control.",,,
PE,Physical Education,Third Grade,Expressive and Efficient Moving,,Demonstrate knowledge of a variety of motor skills.,PE.03.EE.02,"Demonstrate critical elements in manipulative skills: throw, catch, kick, and strike.",,,
PE,Physical Education,Third Grade,Expressive and Efficient Moving,,Demonstrate knowledge of a variety of motor skills.,PE.03.EE.03,"Balance, demonstrating momentary stillness, in symmetrical and asymmetrical shapes on a variety of body parts.",,,
PE,Physical Education,Third Grade,Expressive and Efficient Moving,,Demonstrate knowledge of a variety of motor skills.,PE.03.EE.04,Demonstrate three different step patterns and combinations of movements into repeatable sequences.,,,
PE,Physical Education,Third Grade,Expressive and Efficient Moving,,Understand and participate in a variety of physical and recreational activities available in the school and community.,,No standards currently exist for this CCG,,,
PE,Physical Education,Third Grade,Expressive and Efficient Moving,,Understand and apply movement concepts.,,No standards currently exist for this CCG,,,
PE,Physical Education,Third Grade,Expressive and Efficient Moving,,Understand and apply physical education vocabulary as it relates to movement concepts.,,No standards currently exist for this CCG,,,
PE,Physical Education,Third Grade,Expressive and Efficient Moving,,Understand rules and strategies for a variety of physical activities.,,No standards currently exist for this CCG,,,
PE,Physical Education,Third Grade,Fitness for Lifetime,,Demonstrate knowledge of a physically active lifestyle.,PE.03.FL.01,Identify changes in his/her body during moderate to vigorous exercise.,,,
PE,Physical Education,Third Grade,Fitness for Lifetime,,Understand the meaning of physical fitness and how personal fitness can be improved and maintained using a health-related fitness assessment as one tool for measuring.,,No standards currently exist for this CCG,,,
PE,Physical Education,Third Grade,Self- Management and Social Behavior,,"Understand appropriate and positive behavior management (social skills) and respect for all individual differences, including gender, ethnicity, and physical ability during physical activity.",PE.03.SM.01,"Identify rules, procedures, and etiquette in a specified physical activity.",,,
