           ,Subject,Grade,   ,              ,Core Standard,               ,Content Standard,      ,       ,        
SC09,Science (2009),Kindergarten,,K.1,Structure and Function: The natural world includes living and non-living things.,K.1P.1,Compare and contrast characteristics of living and non-living things.,,,
SC09,Science (2009),Kindergarten,,K.1,Structure and Function: The natural world includes living and non-living things.,K.1L.1,Compare and contrast characteristics of plants and animals.,,,
SC09,Science (2009),Kindergarten,,K.1,Structure and Function: The natural world includes living and non-living things.,K.1E.1,"Gather evidence that the sun warms land, air, and water.",,,
SC09,Science (2009),Kindergarten,,K.2,Interaction and Change: Living and non-living things move.,K.2P.1,Examine the different ways things move. ,,,
SC09,Science (2009),Kindergarten,,K.2,Interaction and Change: Living and non-living things move.,K.2E.1,Identify changes in things seen in the sky.,,,
SC09,Science (2009),Kindergarten,,K.3,Scientific Inquiry: Science explores the natural world through observation.,K.3S.1,Explore questions about living and non-living things and events in the natural world.,,,
SC09,Science (2009),Kindergarten,,K.3,Scientific Inquiry: Science explores the natural world through observation.,K.3S.2,Make observations about the natural world,,,
SC09,Science (2009),Kindergarten,,K.4,Engineering Design: Engineering design is used to design and build things.,K.4D.1,Create structures using natural or designed materials and simple tools.,,,
SC09,Science (2009),Kindergarten,,K.4,Engineering Design: Engineering design is used to design and build things.,K.4D.2,Show how components of designed structures can be disassembled and reassembled. ,,,
SC09,Science (2009),First Grade,,1.1,Structure and Function: Living and non-living things have characteristics and properties.,1.1P.1,Compare and contrast physical properties and composition of objects.,,,
SC09,Science (2009),First Grade,,1.1,Structure and Function: Living and non-living things have characteristics and properties.,1.1L.1,Compare and contrast characteristics among individuals within one plant or animal group.,,,
SC09,Science (2009),First Grade,,1.1,Structure and Function: Living and non-living things have characteristics and properties.,1.1E.1,Examine characteristics and physical properties of Earth materials.,,,
SC09,Science (2009),First Grade,,1.2,Interaction and Change: Living and non-living things interact.,1.2P.1,Describe the motion of objects when a force is applied.,,,
SC09,Science (2009),First Grade,,1.2,Interaction and Change: Living and non-living things interact.,1.2L.1,Describe the basic needs of living things.,,,
SC09,Science (2009),First Grade,,1.3,Scientific Inquiry: Science explores the natural world using evidence from observations.,1.3S.1,Identify and use tools to make careful observations and answer questions about the natural world.,,,
SC09,Science (2009),First Grade,,1.3,Scientific Inquiry: Science explores the natural world using evidence from observations.,1.3S.2,"Record observations with pictures, numbers, or written statements.",,,
SC09,Science (2009),First Grade,,1.3,Scientific Inquiry: Science explores the natural world using evidence from observations.,1.3S.3,Describe why recording accurate observations is important in science.,,,
SC09,Science (2009),First Grade,,1.4,Engineering Design: Engineering design is used to design and build things to meet a need.,1.4D.1,Identify basic tools used in engineering design.,,,
SC09,Science (2009),First Grade,,1.4,Engineering Design: Engineering design is used to design and build things to meet a need.,1.4D.2,Demonstrate that designed structures have parts that work together to perform a function.,,,
SC09,Science (2009),First Grade,,1.4,Engineering Design: Engineering design is used to design and build things to meet a need.,1.4D.3,Show how tools are used to complete tasks every day.,,,
SC09,Science (2009),Second Grade,,2.1,Structure and Function: Living and non-living things vary throughout the natural world.,2.1L.1,Compare and contrast characteristics and behaviors of plants and animals and the environments where they live.,,,
SC09,Science (2009),Second Grade,,2.2,Interaction and Change: Living and non-living things change.,2.2P.1,Compare and contrast how objects and materials respond to magnetic forces.,,,
SC09,Science (2009),Second Grade,,2.2,Interaction and Change: Living and non-living things change.,2.2L.1,Describe life cycles of living things.,,,
SC09,Science (2009),Second Grade,,2.2,Interaction and Change: Living and non-living things change.,2.2E.1,Observe and record the patterns of apparent movement of the sun and the moon.,,,
SC09,Science (2009),Second Grade,,2.2,Interaction and Change: Living and non-living things change.,2.2E.2,Record and summarize daily and seasonal temperature changes.,,,
SC09,Science (2009),Second Grade,,2.3,Scientific Inquiry: Scientific inquiry is a process used to explore the natural world using evidence from observations.,2.3S.1,"Observe, measure, and record properties of objects and substances using simple tools to gather data and extend the senses.",,,
SC09,Science (2009),Second Grade,,2.3,Scientific Inquiry: Scientific inquiry is a process used to explore the natural world using evidence from observations.,2.3S.2,Make predictions about living and non-living things and events in the environment based on observed patterns.,,,
SC09,Science (2009),Second Grade,,2.3,Scientific Inquiry: Scientific inquiry is a process used to explore the natural world using evidence from observations.,2.3S.3,"Make, describe, and compare observations, and organize recorded data.  ",,,
SC09,Science (2009),Second Grade,,2.4,Engineering Design: Engineering design is a process used to design and build things to solve problems or address needs.,2.4D.1,Use tools to construct a simple designed structure out of common objects and materials.,,,
SC09,Science (2009),Second Grade,,2.4,Engineering Design: Engineering design is a process used to design and build things to solve problems or address needs.,2.4D.2,Work with a team to complete a designed structure that can be shared with others.,,,
SC09,Science (2009),Second Grade,,2.4,Engineering Design: Engineering design is a process used to design and build things to solve problems or address needs.,2.4D.3,Describe an engineering design that is used to solve a problem or address a need.,,,
SC09,Science (2009),Third Grade,,3.1,Structure and Function: Living and non-living things vary in their characteristics and properties.,3.1P.1,Compare and contrast the properties of states of matter.,,,
SC09,Science (2009),Third Grade,,3.1,Structure and Function: Living and non-living things vary in their characteristics and properties.,3.1L.1,Compare and contrast the characteristics of offspring and parents.,,,
SC09,Science (2009),Third Grade,,3.2,Interaction and Change: Living and non-living things interact with energy and forces.,3.2P.1,"Describe how forces cause changes in an object’s position, motion, and speed.",,,
SC09,Science (2009),Third Grade,,3.2,Interaction and Change: Living and non-living things interact with energy and forces.,3.2L.1,Compare and contrast the life cycles of plants and animals.,,,
SC09,Science (2009),Third Grade,,3.2,Interaction and Change: Living and non-living things interact with energy and forces.,3.2E.1,Identify Earth as a planet and describe its seasonal weather patterns of precipitation and temperature.,,,
SC09,Science (2009),Third Grade,,3.3,Scientific Inquiry: Scientific inquiry is a process used to explore the natural world using evidence from observations and investigations.,3.3S.1,"Plan a simple investigation based on a testable question, match measuring tools to their uses, and collect and record data from a scientific investigation.",,,
SC09,Science (2009),Third Grade,,3.3,Scientific Inquiry: Scientific inquiry is a process used to explore the natural world using evidence from observations and investigations.,3.3S.2,Use the data collected from a scientific investigation to explain the results and draw conclusions.,,,
