CT.L1:3.01,"Use technology resources (e.g., puzzles, logical thinking programs) to solve age- appropriate problems."
CT.L1:3.02,"Use writing tools, digital cameras, and drawing tools to illustrate thoughts, ideas, and stories in a step-by-step manner."
CT.L1:3.03,"Understand how to arrange (sort) information into useful order, such as sorting students by birth date, without using a computer."
CT.L1:3.04,Recognize that software is created to control computer operations.
CT.L1:3.05,Demonstrate how 0s and 1s can be used to represent information.
,
CT.L1:6.01,"Understand and use the basic steps in algorithmic problem-solving (e.g., problem statement and exploration, examination of sample instances, design, implementation, and testing)."
CT.L1:6.02,"Develop a simple understanding of an algorithm (e.g., search, sequence of events, or sorting) using computer-free exercises."
CT.L1:6.03,Demonstrate how a string of bits can be used to represent alphanumeric information.
CT.L1:6.04,Describe how a simulation can be used to solve a problem.
CT.L1:6.05,Make a list of sub-problems to consider while addressing a larger problem.
CT.L1:6.06,Understand the connections between computer science and other fields.
,
CL.L1:3.01,"Gather information and communicate electronically with others with support from teachers, family members, or student partners."
CL.L1:3.02,"Work cooperatively and collaboratively with peers, teachers, and others using technology."
,
CL.L1:6.01,"Use productivity technology tools (e.g., word processing, spreadsheet, presentation software) for individual and collaborative writing, communication, and publishing activities."
CL.L1:6.02,"Use online resources (e.g., email, online discussions, collaborative web environments) to participate in collaborative problem- solving activities for the purpose of developing solutions or products."
CL.L1:6.03,Identify ways that teamwork and collaboration can support problem solving and innovation.
,
CPP.L1:3.01,Use technology resources to conduct age- appropriate research.
CPP.L1:3.02,"Use developmentally appropriate multimedia resources (e.g., interactive books and educational software) to support learning across the curriculum."
CPP.L1:3.03,"Create developmentally appropriate multimedia products with support from teachers, family members, or student partners."
CPP.L1:3.04,"Construct a set of statements to be acted out to accomplish a simple task (e.g., turtle instructions)."
CPP.L1:3.05,Identify jobs that use computing and technology.
CPP.L1:3.06,Gather and organize information using concept-mapping tools.
,
CPP.L1:6.01,"Use technology resources (e.g., calculators, data collection probes, mobile devices, videos, educational software, and web tools) for problem-solving and self-directed learning."
CPP.L1:6.02,"Use general-purpose productivity tools and peripherals to support personal productivity, remediate skill deficits, and facilitate learning."
CPP.L1:6.03,"Use technology tools (e.g., multimedia and text authoring, presentation, web tools, digital cameras, and scanners) for individual and collaborative writing, communication, and publishing activities."
CPP.L1:6.04,Gather and manipulate data using a variety of digital tools.
CPP.L1:6.05,"Construct a program as a set of step-by-step instructions to be acted out (e.g., make a peanut butter and jelly sandwich activity)."
CPP.L1:6.06,Implement problem solutions using a block- based visual programming language.
CPP.L1:6.07,"Use computing devices to access remote information, communicate with others in support of direct and independent learning, and pursue personal interests."
CPP.L1:6.08,Navigate between webpages using hyperlinks and conduct simple searches using search engines.
CPP.L1:6.09,Identify a wide range of jobs that require knowledge or use of computing.
CPP.L1:6.10,Gather and manipulate data using a variety of digital tools.
,
CD.L1:3.01,Use standard input and output devices to successfully operate computers and related technologies.
,
CD.L1:6.01,Demonstrate an appropriate level of proficiency with keyboards and other input and output devices.
CD.L1:6.02,"Understand the pervasiveness of computers and computing in daily life (e.g., voice mail, downloading videos and audio files, microwave ovens, thermostats, wireless Internet, mobile computing devices, GPS systems)."
CD.L1:6.03,Apply strategies for identifying simple hardware and software problems that may occur during use.
CD.L1:6.04,Identify that information is coming to the computer from many sources over a network.
CD.L1:6.05,Identify factors that distinguish humans from machines.
CD.L1:6.06,"Recognize that computers model intelligent behavior (as found in robotics, speech and language recognition, and computer animation)."
,
CI.L1:3.01,Practice responsible digital citizenship (legal and ethical behaviors) in the use of technology systems and software.
CI.L1:3.02,Identify positive and negative social and ethical behaviors for using technology.
,
CI.L1:6.01,"Discuss basic issues related to responsible use of technology and information, and the consequences of inappropriate use."
CI.L1:6.02,"Identify the impact of technology (e.g., social networking, cyber bullying, mobile computing and communication, web technologies, cyber security, and virtualization) on personal life and society."
CI.L1:6.03,"Evaluate the accuracy, relevance, appropriateness, comprehensiveness, and biases that occur in electronic information sources."
CI.L1:6.04,"Understand ethical issues that relate to computers and networks (e.g., equity of access, security, privacy, copyright, and intellectual property)."
,
CT.L2.01,"Use the basic steps in algorithmic problem- solving to design solutions (e.g., problem statement and exploration, examination of sample instances, design, implementing a solution, testing, evaluation)."
CT.L2.02,Describe the process of parallelization as it relates to problem solving.
CT.L2.03,Define an algorithm as a sequence of instructions that can be processed by a computer.
CT.L2.04,Evaluate ways that different algorithms may be used to solve the same problem.
CT.L2.05,Act out searching and sorting algorithms.
CT.L2.06,"Describe and analyze a sequence of instructions being followed (e.g., describe a character’s behavior in a video game as driven by rules and algorithms)."
CT.L2.07,"Represent data in a variety of ways including text, sounds, pictures, and numbers."
CT.L2.08,"Use visual representations of problem states, structures, and data (e.g., graphs, charts, network diagrams, flowcharts)."
CT.L2.09,"Interact with content-specific models and simulations (e.g., ecosystems, epidemics, molecular dynamics) to support learning and research."
CT.L2.10,Evaluate what kinds of problems can be solved using modeling and simulation.
CT.L2.11,Analyze the degree to which a computer model accurately represents the real world.
CT.L2.12,Use abstraction to decompose a problem into sub problems.
CT.L2.13,"Understand the notion of hierarchy and abstraction in computing including high- level languages, translation, instruction set, and logic circuits."
CT.L2.14,"Examine connections between elements of mathematics and computer science including binary numbers, logic, sets and functions."
CT.L2.15,Provide examples of interdisciplinary applications of computational thinking.
,
CL.L2.01,Apply productivity/multimedia tools and peripherals to group collaboration and support learning throughout the curriculum.
CL.L2.02,"Collaboratively design, develop, publish, and present products (e.g., videos, podcasts, websites) using technology resources that demonstrate and communicate curriculum concepts."
CL.L2.03,"Collaborate with peers, experts, and others using collaborative practices such as pair programming, working in project teams, and participating in group active learning activities."
CL.L2.04,"Exhibit dispositions necessary for collaboration: providing useful feedback, integrating feedback, understanding and accepting multiple perspectives, socialization."
,
CPP.L2.01,Select appropriate tools and technology resources to accomplish a variety of tasks and solve problems.
CPP.L2.02,Use a variety of multimedia tools and peripherals to support personal productivity and learning throughout the curriculum.
CPP.L2.03,"Design, develop, publish, and present products (e.g., webpages, mobile applications, animations) using technology resources that demonstrate and communicate curriculum concepts."
CPP.L2.04,Demonstrate an understanding of algorithms and their practical application.
CPP.L2.05,"Implement problem solutions using a programming language, including: looping behavior, conditional statements, logic, expressions, variables, and functions."
CPP.L2.06,"Demonstrate good practices in personal information security, using passwords, encryption, and secure transactions."
CPP.L2.07,Identify interdisciplinary careers that are enhanced by computer science.
CPP.L2.08,"Demonstrate dispositions amenable to open- ended problem solving and programming (e.g., comfort with complexity, persistence, brainstorming, adaptability, patience, propensity to tinker, creativity, accepting challenge)."
CPP.L2.09,Collect and analyze data that is output from multiple runs of a computer program.
,
CD.L2.01,Recognize that computers are devices that execute programs.
CD.L2.02,Identify a variety of electronic devices that contain computational processors.
CD.L2.03,Demonstrate an understanding of the relationship between hardware and software.
CD.L2.04,"Use developmentally appropriate, accurate terminology when communicating about technology."
CD.L2.05,Apply strategies for identifying and solving routine hardware problems that occur during everyday computer use.
CD.L2.06,Describe the major components and functions of computer systems and networks.
CD.L2.07,Describe what distinguishes humans from machines focusing on human intelligence versus machine intelligence and ways we can communicate.
CD.L2.08,"Describe ways in which computers use models of intelligent behavior (e.g., robot motion, speech and language understanding, and computer vision)."
,
CI.L2.01,Exhibit legal and ethical behaviors when using information and technology and discuss the consequences of misuse.
CI.L2.02,"Demonstrate knowledge of changes in information technologies over time and the effects those changes have on education, the workplace, and society."
CI.L2.03,Analyze the positive and negative impacts of computing on human culture.
CI.L2.04,"Evaluate the accuracy, relevance, appropriateness, comprehensiveness, and bias of electronic information sources concerning real-world problems."
CI.L2.05,"Describe ethical issues that relate to computers and networks (e.g., security, privacy, ownership, and information sharing)."
CI.L2.06,"Discuss how the unequal distribution of computing resources in a global economy raises issues of equity, access, and power."
,
CT.L3A.01,"Use predefined functions and parameters, classes and methods to divide a complex problem into simpler parts."
CT.L3A.02,"Describe a software development process used to solve software problems (e.g., design, coding, testing, verification)."
CT.L3A.03,"Explain how sequence, selection, iteration, and recursion are building blocks of algorithms."
CT.L3A.04,Compare techniques for analyzing massive data collections.
CT.L3A.05,Describe the relationship between binary and hexadecimal representations.
CT.L3A.06,Analyze the representation and trade-offs among various forms of digital information.
