           ,Subject,Grade Band,             ,Standard,    ,               ,Proficiency Level,      ,       ,        
ELP14,English Language Proficiency,Kindergarten,K.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 1,"with prompting and support (including context and visual aids), use a very limited set of strategies to identify a few key words from read-alouds and oral presentations of information or stories.",,,
ELP14,English Language Proficiency,Kindergarten,K.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 2,"with prompting and support (including context and visual aids), use an emerging set of strategies to identify some key words and phrases from read-alouds and oral presentations.",,,
ELP14,English Language Proficiency,Kindergarten,K.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 3,"with prompting and support (including context and visual aids), use a developing set of strategies to identify main topics, ask and answer questions about key details from read-alouds and oral presentations.",,,
ELP14,English Language Proficiency,Kindergarten,K.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 4,"with prompting and support (including context and visual aids), use an increasing range of strategies to &nbsp;identify main topics, answer questions about key details or parts of stories, retell events from read-alouds, picture books, and oral presentations.",,,
ELP14,English Language Proficiency,Kindergarten,K.1,"An ELL can construct meaning from oral presentations and literary and informational text through grade-appropriate listening, reading, and viewing.","By the end of each English language proficiency level, an ELL can . . .",Level 5,"with prompting and support (including context and visual aids), use a wide range of strategies to identify main topics, answer questions about key details, retell familiar stories from read-alouds, picture books, and oral presentations.",,,
ELP14,English Language Proficiency,Kindergarten,K.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English Language proficiency level, an ELL can...",Level 1,"listen with limited participation in short conversations, respond to simple yes/no and some wh- questions about familiar topics.",,,
ELP14,English Language Proficiency,Kindergarten,K.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English Language proficiency level, an ELL can...",Level 2,"participate in short conversations, respond to simple yes/no and wh- questions about familiar topics.",,,
ELP14,English Language Proficiency,Kindergarten,K.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English Language proficiency level, an ELL can...",Level 3,"participate in short conversations, follow some rules for discussion, respond to simple yes/no and wh- questions about familiar topics.",,,
ELP14,English Language Proficiency,Kindergarten,K.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English Language proficiency level, an ELL can...",Level 4,"participate in conversations and discussions, ask and answer simple questions, follow increasing number of rules for discussion about a variety of topics.",,,
ELP14,English Language Proficiency,Kindergarten,K.2,"An ELL can participate in grade-appropriate oral and written exchanges of information, ideas, and analyses, responding to peer, audience, or reader comments and questions.","By the end of each English Language proficiency level, an ELL can...",Level 5,"participate in conversations and discussions, ask and answer questions, follow rules for discussion, about a variety of topics.",,,
ELP14,English Language Proficiency,Kindergarten,K.3,An ELL can speak and write about grade-appropriate complex literary and informational texts and topics.,"By the end of each English language proficiency level, an ELL can . . .",Level 1,communicate simple information or feelings about familiar topics or experiences.,,,
