           ,Subject,Grade,             ,Strand,              ,    ,               ,Grade Level Standard,      ,       ,        
SS11,Social Sciences,Kindergarten,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",K.1.,Compare children and families of today to those of the past.,,,
SS11,Social Sciences,Kindergarten,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",K.2.,"Identify celebrations, commemorations, and holidays as a way of remembering and honoring people, events, and heritage.",,,
SS11,Social Sciences,Kindergarten,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",K.3.,Distinguish between past and present.,,,
SS11,Social Sciences,Kindergarten,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",K.4.,Compare and contrast the student’s own environment with the past.,,,
SS11,Social Sciences,Kindergarten,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",K.5.,Use sense of time for planning.,,,
SS11,Social Sciences,Kindergarten,,Historical Thinking,,"Use multiple perspectives, primary sources, context, and reasoning skills to understand the significance of events, people, ideas and institutions.",K.6.,Create and explain a simple timeline of events.,,,
SS11,Social Sciences,Kindergarten,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,K.7.,"Identify and compare and contrast pictures, maps and globes.",,,
SS11,Social Sciences,Kindergarten,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,K.8.,Describe roles of self and family members.,,,
SS11,Social Sciences,Kindergarten,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,K.9.,"Locate, identify, and describe places of importance to self, family, and school.",,,
SS11,Social Sciences,Kindergarten,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,K.10.,Explain how people can care for the environment.,,,
SS11,Social Sciences,Kindergarten,,Geography,,Understand and use geographic skills and concepts to interpret contemporary and historical issues.,K.11.,"Use terms related to location, direction, and distance (e.g., over/under, here/there, left/right, above/below, forward/backward, between).",,,
SS11,Social Sciences,Kindergarten,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",K.12.,Explain why rules are needed and how rules reduce conflict and promote fairness.,,,
SS11,Social Sciences,Kindergarten,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",K.13.,"Use and identify respectful dialog, taking turns, and explain how rules are different in different settings.",,,
SS11,Social Sciences,Kindergarten,,Civics and Government,,"Understand and apply knowledge about governmental and political systems, and the rights and responsibilities of citizens.",K.14.,Distinguish between democratic methods and decisions made by authority.,,,
SS11,Social Sciences,Kindergarten,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.  Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,K.15.,Identify various forms of money and explain how money is used.,,,
SS11,Social Sciences,Kindergarten,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.  Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,K.16.,Give examples of different jobs performed in neighborhoods.,,,
SS11,Social Sciences,Kindergarten,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.  Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,K.17.,"Identify examples of ownership of different items, recognizing the difference between private and public ownership, and the need for sharing.",,,
SS11,Social Sciences,Kindergarten,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.  Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,K.18.,Explain how jobs provide income.,,,
SS11,Social Sciences,Kindergarten,,Economics/Financial Literacy,,Understand economic concepts and principles and how available resources are allocated in a market and other economies.  Understand and apply knowledge and skills to manage one’s financial resources effectively for lifetime financial security.,K.19.,Distinguish between wants and needs.,,,
SS11,Social Sciences,Kindergarten,,Social Science Analysis,,"Design and implement strategies to research for reliable information, analyze issues, explain perspectives, and resolve issues using the social sciences.",K.20.,Compare and contrast past and present events or practices.,,,
SS11,Social Sciences,First Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",1.1.,Describe how people live in the community.,,,
SS11,Social Sciences,First Grade,,Historical Knowledge,,"Relate significant events and eras in local, state, United States, and world history to past and present issues and developments.",1.2.,Compare the ways people lived in the community in the past with the way they live in the present.,,,
